	term	discription	
10	가슴고름집, 농흉, 축농증: empyema	    몸속의 공간에 차는 경우를 이르는 말. 아무 수식어가 없이 사용이 될 경우에는 대개 가슴속에 농이 차있는 가슴고름집을 이른다.	
11	가슴샘: thymus(gland)	    가슴의 앞 위쪽에 위치한 림프성 장기로서, 사춘기에 최고의 무게에 달했다가 이후에 퇴축한다. 이것은 세포매개 면역(cell-mediated immunity: 주로 T-림프구에 의해 일어나며, 자기와 다른 세포에 대한 인식과 이식거부반응에 관여함)기능의 발달과 성숙에 필요한 장기이며, 회백적색으로 보통 정중면에서 결합조직에 의해 결합된 두 개의 엽으로 되어 있다. 가슴샘은 상피세포, 림프구, 가슴샘세포로 구성되어 있으며 전구세포가 가슴샘에 이행하여 림프구로 분화되고, 그 대부분은 파괴되나 나머지는 T림프구를 형성한다. 가슴샘은 또한 호르몬 유사물질인 thymine, thymopoietin, thymosin 등을 분비한다.    	
12	가슴쓰림: heartburn	    식도와 위의 윗부분이 쓰리고 아픈 증상. 산성의 위액이 식도에 올라와 점막을 자극하거나 식도 아랫부분에 많은 양의 액체가 갑자기 흘러 들어갈 때 생기는 증상이다. 위산과다 혹은 소화성괴양에 의해서 일어날 수도 있다.	
13	가슴절개술: 	  = 개흉술 	
14	가습기: humidifier	    수증기를 내어 실내의 습도를 조절하는 전기 기구. 실내의 공기는 적당한 습도(60% 정도)를 유지함으로써 호흡장애 및 질병을 예방할 수 있고, 쾌적한 실내분위기를 유지할 수 있다. 실내에 적당한 증기가 없고 온도가 높아지면 건조해지기 쉽다. 이런 때 가습기로 공기 속의 습도를 조절할 수 있는데, 전기에 의하여 깨끗한 물을 입자화하여 실내에 뿜어지게 하는 것이 원리이다. 종류는 원심분무식 가습기, 초음파 가습기, 전열식 가습기, 필터기화식 가습기 등이 있다.	
15	가시돌기: spinous process	    가시처럼 생긴 척추뼈몸통의 돌기중 하나로서 척추뼈몸통의 뒷부분으로 뻗어 있으며 목뼈의 경우 첫번째, 두번째, 일곱번째를 제외하고는 끝이 둘로 갈라져 있으며, 허리뼈의 경우 사각형으로서 척추뼈에 따라 모양이 다르다. 고개를 숙였을때 목뒤에서 만져지는 돌기는 일곱번째 목뼈의 가시돌기이다.	
16	가운데귀, 중이: middle ear	    귀는 바깥의 바깥귀, 그리고 음을 전달하는 가운데귀, 전달된 음을 신경이 알아들을 수 있도록 바꿔주는 기능의 속귀, 이 3가지로 구분되어 진다. 가운데귀는 고막에서부터 속귀까지 연결되는 곳까지인데 여기에 3가지의 조그마한 뼈가 있어 고막에 울린 음이 속귀까지 전해지도록 해준다. 이때 이 뼈들과 고막의 작용으로 귀에 들린 음은 약 21배정도의 확대효과가 나타난다. 속귀는 이렇게 해서 전해진 음을 코르티 기관에 의해서 신경이 알아 들을 수 있는 신호 전달체계로 바꾸어 뇌에 전해주는 역할을 한다.	
17	가임신: 	  = 거짓임신 	
18	가족요법: family therapy	    가족을 치료 대상으로 하는 심리요법 중의 하나. 가족중의 문제는 문제를 가진 개인만이 아니라 문제 가족을 대상으로 해결해 나갈 필요가 있다는 인식을 바탕으로 하여 가족 전체의 심리적 성숙을 목표로 한 요법이다. 크게 나누어 가족 중의 특정인을 대상으로 하여 각각 다른 독립된 치료를 하는 병행심리요법과 가족 전체를 동시 면접하는 방법을 주로 하는 합동가족요법이 있는데, 특히 후자를 가리켜 가족요법 이라고 하는 경우가 많다.	
19	가진통: false labor	    분만진통과 비슷하나 효과가 없는 진통으로 자궁목의 확장이 일어나지 않는다.	
20	가학성 음란증: sadism	    정신의학 용어로서, 성적 행위을 할 때 타인에게 통증이나 굴욕 또는 치욕을 줌으로써 만족을 얻는 비정상적인 행태를 일컫는다.	
21	각막: cornea	    눈의 한 부분. 밖에서 볼 때 검은자 부위를 덮고 있는 볼록하고 투명한 부위를 이르는 말이다. 무색투명하고 볼록렌즈 모양으로 생겼다. 이 부분은 빛을 투과하고 또 빛을 꺽이게 하여 눈에서 필름부위에 해당하는 망막에 물체의 상이 맺히게 하는 역할을 한다. 	
22	각막염: keratitis	    각막의 염증. 각막은 투명하고 가운데가 볼록하게 나온 조직이며, 그 부분에 결핵, 매독 등 전신성 전염병이나 트라코마, 유행성 결막염 등 눈의 전염병, 눈이 받는 물리적-화학적 자극(외상이나 산-알칼리 등) 등이 원인이 되어 변화를 일으키는 병이다.	
23	각막이식술: keratoplasty	    각막혼탁으로 시력을 잃어버린 사람의 개안수술로서 행하여지는 것이다. 대부분의 경우 사망한 시체의 안구에서 채취한 새로운 각막을 환자의 혼탁된 각막을 절제한 면에 대치하여 그것이 자연히 유합되는 것을 기다리는 수술이다.    	
24	각화증: keratosis	    피부 표피의 최상층에 있는 각질층이 증식-변화하여 까칠까칠해지거나 굳어지는 피부병-표피의 각질이 증식할 뿐만 아니라, 때로는 털주머니의 각층이 표피의 각층보다도 심하게 증식하여 구진을 형성하는 수가 있다. 각질은 표피세포가 각화하여 생기는 것으로, 정상적인 각화과정에서는 각층에 세포핵을 발견할 수 없다. 그런데 각질증식의 경우에는 세포핵이 잘 염색되어 존재한다.	
25	간: liver	    복강 오른쪽 위에 위치한 암적색의 커다란 장기. 그 반구형으로 융기된 위표면은 오른쪽 가로막 밑면에 밀접하게 부착되어 있으며, 간동맥 및 문맥으로부터 이중의 혈액공급을 받는다. 이 장기는 간의 기능단위인 미세한 소엽(간소엽)으로 되어 있다. 그 다양한 기능에는 혈액의 저장 및 여과, 담즙의 분비, 빌리루빈 및 신체의 다른 곳에서 생성된 물질의 배출, 당의 글리코겐으로의 전환 등을 포함한 다수의 대사기능이 있다. 이 장기는 생명에 필수적이다.        	
26	간경화(증): liver cirrhosis	    정상적인 간세포의 많은 부분이 소실이 되고 대신에 섬유조직으로 대치되어 있는 간의 병적 상태를 말한다. 간세포의 많은 손상을 가져오는 모든 병에서 간경화가 일어난다. 그러나 대부분의 간경화의 원인은 간염과 술에 의한 간손상이다.    간경화의 증상은 원인에 따라서 다음과 같은 두 가지로 나눌 수가 있다. 첫째는 우선 간의 기능의 장애에 의한 증상이다. 간세포의 상당수가 섬유조직으로 대체되어 있는 상태이므로 간의 기능의 장애가 생기는 것은 당연하다. 황달 등이 대표적 예라 하겠다. 두번째는 문맥압항진(portal hypertension)에 의한 증상들이다. 위, 작은창자나 큰창자에서 영양분을 흡수하기위한 모세혈관조직은 모두 간으로 연결이 된다. 즉 소화기에서 흡수한 영양분이 가득한 피는 모두 간으로 연결되는데 이것을 문맥계(portal system)라고 한다.    간경화의 경우에는 섬유성조직이 간조직을 거의 대치함으로 정상 간세포내에선 넓은 공간을 차지하던 간내의 혈관들이 섬유조직에 눌리게 된다. 그러면 이것과 연결된 문맥계의 압력도 높아지게 된다. 문맥압의 상승이 있는 경우에는 문맥계에 연결이 되어 있는 모든 부분의 정맥의 압력이 높아지고 정맥의 순환이 정지된 상태가 된다. 지라의 경우도 문맥계에 연결된 장기이므로 문맥압 상승시에는 정맥의 순환이 없어지고, 동맥으로 유입이 되는 혈액은 계속 들어오므로 지라이 커지게 된다. 또 소화기의 모세혈관내에서의 압력도 높아지게 되고 그러면 그 압력에 의해서 많은 양의 수분이 모세혈관밖으로 빠져나오게 된다. 이 수분이 모여 복수가 된다.	
27	간관: hepatic duct	    간에서 생성된 담즙이 지나는 통로로 간에서 직접 담즙을 운반하는 관을 말한다. 간에서 만들어진 담즙은 간관, 쓸개주머니관를 거쳐서 쓸개에 보관되었다가 온쓸개관을 통해서 샘창자로 보내진다.     	
28	간기능검사: liver function tests	    혈액검사중 가장 많이 쓰이는 검사법으로 다음 7가지를 검사하게 된다. 혈청콜레스테롤, 총단백질, 알부민, 빌리루빈, GOT/GPT 효소, 알칼리인산분해효소(alkaline phophatase) 등을 검사하게 되는 데 각 검사치에는 모두 의미가 있으며, 이 검사 하나로 간기능의 전반적인 상태에 대해서 알아볼 수 있다.	
29	간대성근경련(증): myoclonus	    근육의 일부, 근육 전체, 또는 일군의 근육의 갑작스러운 수축으로서 신체의 일부영역에 제한되거나, 혹은 여러 부위에서 동시성 또는 비동시성으로 나타난다.	
30	간문맥계: hepatic portal system	    위, 작은창자이나 큰창자에서 영양분을 흡수하기 위한 모세혈관조직은 모두 간으로 연결된다. 즉 소화기에 흡수한 영양분이 가득한 피는 모두 간으로 연결되는데 이것을 문맥계라고 한다.	
31	간비대: hepatomegaly	    간이 정상보다 크게 된 상태이며, 여러 가지의 간염, 지방간, 울혈, 간경화, 간암, 쓸개길병, 혈액병, 대사병(축적병)등에서 보는 일이 많다.	
32	간생검: liver biopsy	    사람이 살아있는 상태에서 병터를 잘라내어 직접 현미경 등으로 보아 진단을 내리는 진단법이다. 간생검은 주로 간염이나 간암의 진단이나, 희귀한 유전병, 선천병 등의 확진에 이용된다. 간염에서는 현재의 간염이 진행성인지 혹은 비진행성인지 또는 이미 간경화상태로 넘어갔는지 등의 여부를 알아보게 된다.	
33	간암: hepatoma	    간세포에서 발생하는 간세포암(hepatoma)과 쓸개관상피세포에서 발생하는 쓸개관암종(cholangiocarcinoma)이 있으며, 드물게 소아에서 발생하는 간모세포종(hepatoblastoma)이 있다. 일반적으로 간암이라고 하면 대부분 간세포에서 기원하는 간세포암종을 말한다. 원인은 대부분이 불분명하지만 간경화가 있는 경우가 많으며, 간경화가 있는 환자와 만성 활동성 B형 간염, 혹은 B형 간염 보균자에서 간암이 잘 생기는 것으로 밝혀져 있다. 증세는 서서히 나타나며, 초기에는 잘 알 수 없으나 식욕부진, 체중감소, 복통 등을 일으킨다. 주로 간이 커져서 우상복부에서 딱딱하게 만져짐으로써 알 수 있는 경우가 많다. 간은 그 크기가 점점 커져서 정상시의 2~3배에 이를 수 있으며, 그 표면이 불규칙한 결절상의 종괴로 울퉁불퉁하다. 간암은 어느 정도 진행하면 급격하게 전신쇠약이 오며, 경과가 매우 빨라서 곧 말기에는 이른다. 말기에 이르면 여러 가지 증세가 나타나는데, 종괴에 의한 쓸갯길의 압박으로 황달이 나타나고, 또 복부 내장의 혈류장애로 복수가 생기기도 한다. 복수는 황색일 때가 많고 때로는 혈액이 혼합되어 있을 때도 있다. 흔히 사용되는 검사로는 간기능검사, B형간염표지자검사, 간 동위원소촬영, 복부초음파검사, 복부컴퓨터단층촬영, 간혈관조영술, 혈증 알파태아단백(α-fetoprotein)과 간 조직검사 등이 있다.	
34	간염: hepatitis	    간에 생기는 염증을 통틀어 이르는 말. 발열-황달-전신권태-소화 장애의 증상을 보이는데, 주된 원인은 음식물과 혈액을 통한 바이러스 감염이며 그 밖에 약물, 알코올, 알레르기 등이 원인인 것도 있다. 이 간염은 그 지속기간에 따라서 급성간염과 만성간염으로 나누는데, 만성간염은 6개월 이상 간염이 지속되는 경우를 말하고 급성간염은 6개월 이상 지속하지 못하는 경우를 말한다. 급성간염은 막연한 명칭으로서, 간의 급성-실질성 상해의 거의 전부를 포괄하는 넓은 개념이지만, 실제는 바이러스의 감염으로 생기는 간염이 대부분이다. 바이러스성 간염은 유행선간염(A형)과 혈청간염(B형)의 두 종류가 있는데, 이들은 모두 전염성 질환이지만 감염 경로는 다르다. 감염 경로로 유행선간염바이러스는 혈액-샘창자액-대변 중에서 증명되므로 전염된 물-음식을 통하여 경구감염되거나 환자와의 직접 접촉에 의해서 감염된다. 혈청간염은 오로지 비경구적 감염으로 환자의 혈청, 혈액의 주사, 환자의 혈액에 감염된 주사기 등으로 감염된다. 잠복기는 유행성간염이 2~6주간이고, 혈청 간염은 6주~6개월 가량 된다. 혈청간염은 유행의 계절-연령과는 관계가 없으나, 유행성간염은 주로 가을에서 겨울에 걸쳐 많고 청소년에 많다. 증세는 발병하기 1주일 전부터 온몸이 노곤하고 식욕이 떨어지며 두통이 있고 상복부에 불쾌감이 생기는데, 유행성간염에서는 황달이 나타나기 전에 발열(38℃ 전후)이 있을 때가 많고 수일 후에 해열된다. 또, 관절-허리가 아플 때도 있어 처음에는 감기로 오인할 때가 많다. 혈청간염은 이러한 초기 증세가 가볍고 서서히 발병하는 것이 많다. 주증세는 위장증세와 황달이며, 식욕부진-구토-구역질, 상복부의 둔통 등이 일어나며, 발병 후 4~5일에 황달이 나타난다. 황달은 1주일을 전후하여 최고에 이르며, 그 후 1개월 사이에 없어지면서 다른 증세도 좋아진다. 경과는 급성간염은 약 70%가 대개 1~3개월 이내에 치유되지만 빨리 치료되지 않는 것 중 15%가 만성간염으로 이행하며, 그 일부는 간경화증으로 이행한다. 급성간염 중에는 때로는 10일 이내에 사망하는 전격성간염이라고 하는 것도 있다. 병의 전체 경과 중 황달이 나타나지 않는 무황달성 간염이라고 하는 것도 있어. 만성간염으로 이행하는 것에는 이 무황달성이 많은 경향이 있다. 혈청간염도 만성화하기 쉽다.	
35	간절제(술): hepatectomy	    부분적 또는 완전하게 간을 떼어내는 것.	
36	간질: epilepsy	    돌발적이고 일과적인 발작을 특징으로 하는 만성 중추신경계 질환의 총칭이며 공통적으로 운동, 지각, 자율신경계 혹은 정신 증상을 나타내고 거의 모든 경우에 비정상적인 뇌파 양상을 나타낸다.    뇌조직의 병터 또는 기능적인 장애로 인하여 발작적으로 신경기능장애를 일으켜 여러 가지 신경증상, 즉 돌발적인 의식상실, 경련, 정신 또는 감각장애를 일으키는 질환, 전간 또는 지랄병이라고도 한다. 전인구의 약 0.5%~1%에서 볼 수 있는 흔한 질병으로서, 종전엔 유전병이나 불치의 병으로 단정하여 치료를 기피하는 경향이 있었다. 그러나 간질의 원인과 치료면에서 근래에 많은 발전이 있어 현재는 약물치료와 뇌수술로써 간질 환자의 약 80%를 치유할 수 있다.    간질은 뇌의 이상이나, 이에 따른 특징적인 신체증상도 같이 나타난다. 다양한 형태가 있으며, 뇌파검사상 전반적인 뇌전체의 이상이 나타나면 전신발작(generalized seizure(=epilepsy))이라고 하며, 일부의 뇌에서 이상이 나타나면 부분발작(partial seizure)이라고 한다. 또한 전신발작에는 큰 팔다리의 운동과 의식소실, 자율신경이상 등을 호소하는 가장 심한 형태의 대발작(grand mal seizure)와, 잠깐의 의식소실만을 호소하는 소발작(petit mal seizure)가 있다. 그리고 부분발작에는 운동부위에만 이상이 나타나는 운동발작(motor seizure), 감각부위에만 이상이 나타나는 감각발작(sensory seizure), 그리고 관자엽의 이상뇌파소견을 나타내는 관자엽 발작(temporal lobe seizure) 등이 있다. 3세 소아에 일어나고, 단순히 의식소실(5~10초간)을 나타낸다.	
37	간트리신: gantrisin	    항생제의 일종. Sulfonamides 유도체로 sulfadiazine과 비슷한 항균작용을 가지나 오줌에서의 용해도가 훨씬 높아서 오줌으로 더 많은 양의 이 약물이 배설되므로 요로감염에 주로 쓰이고 있다.	
38	갈비뼈, 늑골: rib	    등뼈(척추중 가슴부위에 있는 뼈)에서 체간 배쪽의 정중선쪽으로 뻗은 12쌍의 굽은 뼈 중의 하나이다.    1. 참갈비뼈: 각각의 갈비뼈연골부가 복장뼈에 직접 닿아 있는 윗쪽 7쌍의 갈비뼈를 말한다.    2. 거짓갈비뼈: 연골부가 직접 복장뼈에 닿아 있지 못한, 아래쪽 5쌍의 갈비뼈. 8, 9, 10번째 갈비뼈의 연골부는 각각 7, 8, 9번째 갈비뼈의 연골부에 연결되며, 11, 12번째 갈비뼈의 연골부는 어디에도 연결되지 않고 자유롭게 떨어져 있다.    3. 뜬갈비뼈: 연골부가 어디에도 부착되지 않고 자유롭게 떨어져 있는 11, 12번째 갈비뼈를 말한다.	
39	감각: sense	    주위 환경의 변화를 자극(stimulus)이라 하며, 자극을 받아들여 그 의미를 파악하는 과정을 감각이라 한다. 이에 비해 주위환경의 변화를 일으키는 과정을 운동이라 함. 운동과 감각은 모두 신경계의 전달작용에 의해 중계된다.	
40	감각기관: sense organ(s)	    자극을 받아들이는 말초 기관으로 예를 들어 시각은 눈, 청각은 귀가 감각 기관이다.	
41	감각신경: sensory nerve	    감각세포가 받은 자극을 중추신경에 전달하는 신경. 눈이나 피부 등에 있는 감각기가 외부로부터 자극을 받으면 감각신경을 거쳐 척수와 대뇌겉질까지 감각이 전달된다. 이와 같이 외부로부터 내부를 향해 전달되는 감각신경은 구심성 신경계통이며, 원심성 운동신경계통 및 자율신경계통에 필적하는 말초신경의 하나이다. 이 감각신경에는 후각신경(뇌신경Ⅰ)-시각신경(뇌신경Ⅱ)-눈돌림신경(뇌신경Ⅲ)-삼차신경(뇌신경Ⅴ)-얼굴신경(뇌신경Ⅶ)-청각신경(뇌신경Ⅷ)-혀인두신경(뇌신경Ⅸ)-미주신경(뇌신경Ⅹ) 및 척수신경이 있다. 감각신경 중 미주신경을 제외하면 모두 두부에 분포되어 있고, 후각신경-시각신경-청각신경의 세가지는 특히 분화된 감각상피를 지배한다. 혀인두신경은 미각의 말단장치와 그 밖의 부분에 연결되고 미주신경은 흉강과 복강의 기관에 분포되어 구심성 충격을 중추에 전달하며 삼차신경은 척수의 각 마디에 있는 신경에 해당하여(머리의 피부-점막 등의 표면감각과 심부감각을 관장한다. 척수의 감각신경계통에도 피부와 심부, 내장의 분포에 따른 구별이 있다. 	
42	감마글로불린: gammaglobulin	    혈장단백질의 한 성분. 즉, 혈액에 함유되어 있는 단백질의 한 그룹에 붙여진 명칭. 1937년 A.W.K. 티셀리우스는 혈청의 단백질이 전기영동에 의해 알부민과 α, β, γ의 3종의 글로불린으로 분리된다는 것을 발견했다. 정상인은 감마 글로불린이 혈장단백질의 11~17%를 차지하지만 단백질로서는 균일하지 않고 비슷하게 생긴 무수히 많은 단백질의 혼합물이다. 그 중에서 약 80%는 분자량 약 16만의 분자종(I gG), 약 20%는 분자량 약 90만의 분자종(IgM)이고, 그 중간의 분자량을 가진 것도 소량이 존재한다.	
43	감마선: gamma ray	    감마-붕괴로 인해 원자핵 안으로부터 방사되는 전자방사선. 같은 전자방사선인 X선과는 원자핵 밖의 현상으로 인해 발생되는 점으로 구별한다. 질량, 전하를 가지고 있지 않기 때문에 물질과의 상호작용은 알파선이나 베타선과 비교하여 매우 적으며 투과성이 매우 크다. 물질과의 상호작용은 X선의 그것과 본질적으로 차이가 없으며 에너지에 따라 톰슨산란, 광전효과, 콤튼산란, 전자쌍 생성, 광핵반응 등이 일어난다. 의료에 이용되는 것은 방사선 치료에서 60Co에 의한 외조사 또는 192Ir, 226Ra, 198Au 등으로부터의 감마선이 사용되고 감마-카메라를 사용한 핵의학 검사에서는 99mTc 등으로부터의 감마선에 의한 신티그램이 진단에 이용되고 있다.	
44	감염: infection	    병원미생물이 사람이나 동물 또는 식물의 조직. 체액-표면에 정착하여 증식하는 상태. 이 경우 동물 또는 인체에 여러 가지 증상, 즉 질병을 일으키는 경우와 일으키지 않는 경우가 있다. 예를 들면, 일본뇌염바이러스가 인체에 침입하여 체내에 증식하면 어떤 사람에게는 고열-두통-의식장애-경련 등의 증상이 일어나 발병을 알지만, 대다수의 사람은 체내에서 바이러스가 증식하더라도 증세의 정도가 낮고 발열이나 그 밖의 증세도 없어 감염을 모른다. 이와 같이 병원미생물은 인체에 감염되더라도 발병하는 경우와 하지 않는 경우가 있다. 전자를 증상감염, 후자를 무증상감염이라 한다. 감염의 근원이 되는 환자-보균자-감염동물-매개동물-병원체를 포함한 배설물 및 그에 의해 감염된 것을 감염원이라 하고, 이러한 감염원에서 직접 또는 간접으로 생체에 병원체가 침입하는 경로를 감염경로라 한다. 감염경로에는 공기감염-접촉감염-경구감염-경피감염 등이 있다. 또한 감염증은 전염성과 비전염성의 두 가지로 나눌 수 있다. 전자는 질병의 경과 중에(때로는 잠복기나 회복기에) 감염한 생체의 분비물 또는 배설물과 함께 병원체가 나와서 접촉 또는 매개에 의해 다른 개체를 감염시키는 경우를 말한다. 마마-디프테리아-성홍열-페스트-콜레라-이질 등이 이에 속한다. 후자는 병원체가 감염한 생체에서 배설되지 않거나 배설되더라도 다른 개체에는 감염을 일으키지 않는 것으로 여기에는 파상풍-말라리아-발진티푸스-산후열 등이 있다.	
45	감염병: infectious disease	    바이러스로부터 기생충 크기까지의 생물을 원인으로 하는 병. 원인은 접촉전염성이며, 병원에서 감염되는 경우도 있다. 감염을 원인균에 따라 분류하면 바이러스, 세균, 클라미디아, 리켓차, 미코박테리움, 곰팡이, 원충, 윤충, 외부기생충 감염으로 나눌 수 있다.	
46	감정: emotion	    인간의 생리적, 심리적 혹은 사회적은 욕구에 대한 반응으로서 기쁨, 슬픔, 놀라움, 공포, 노여움 등으로 강하게 영향받는 상태를 말한다. 감정은 자율신경계의 생리적 변화를 수반하여 표정이나 행동에 나타나는 수가 많다. 감정의 발달에 관해서 바로 이해한다는 것은 어린이 환자에 적절히 대응하기 위하여 매우 중요하다. 신생아기는 자극에 대하여 단지 미분화한 흥분뿐이지만 유아기가 되어서 흥분이 쾌와 불쾌로 분화된다. 불쾌는 생후 3개월에 노여움이 분화, 생후 6개월에 공포, 놀라움, 혐오, 1세에서 질투가 나타난다. 쾌(快)는 2개월에 미소, 4개월에 소리를 내어서 웃으며, 6~7개월에 손발을 움직여서 크게 웃는다. 1세에 애정, 기쁨이 나타난다. 기본적인 감정의 분화는 2세까지에 완성되지만 모두가 발달해서 성인과 같게 되는 것은 5세경이다.	
47	갑상샘: thyroid gland	    사람의 몸에서 가장 큰 내분비샘으로 목의 앞쪽, 아래쪽에 위치하고 있으며 2엽으로 구성되어 있다. 각 엽은 기관의 양쪽에 있으며 좁은 잘룩에 의해 앞에서 연결되어 있다. 갑상샘호르몬인 티록신(thyroxine)을 분비하고 저장하며, 필요에 따라 방출한다. 또한 갑상샘은 티로칼시토닌(thyrocalcitonin)도 분비한다. 병적인 상태에서 크기가 대개 증가하고, 일부에서는 도리어 위축되며, 통증을 나타내기도 한다.	
