,Unnamed: 0,병원코드,병원명,명칭,분류,소분류,중분류,중복컬럼_1,비용,최저비용,최고비용,코드,구분,특이사항,약제비포함여부,치료재료대포함여부
56,56.0,11206616,목동힘찬병원,,,진료기록사본,제증명,,,"1,000","1,000",PDZ110101,의무기록사본(1~5매),,,
57,57.0,11206616,목동힘찬병원,,,제증명수수료,제증명,,,100,100,PDZ110102,의무기록사본(6매이상),,,
58,58.0,11206616,목동힘찬병원,,,제증명서 사본,제증명,,,"1,000","1,000",PDZ160000,일반건강진단서추가당,,,
59,59.0,11206616,목동힘찬병원,,,진단서,제증명,,,"15,000","15,000",PDZ010000,일반진단서,,,
60,60.0,11206616,목동힘찬병원,,,제증명서 사본,제증명,,,"1,000","1,000",PDZ160000,일반진단서1매추가당,,,
61,61.0,11206616,목동힘찬병원,,,제증명서 사본,제증명,,,"1,000","1,000",PDZ160000,"입원.통원,진료 치료확인서추가당",,,
62,62.0,11206616,목동힘찬병원,,,확인서,제증명,,,"1,000","1,000",PDZ090002,입퇴원확인서,,,
63,63.0,11206616,목동힘찬병원,,,장애진단서,제증명,,,"15,000","15,000",PDZ070001,장애진단서,,,
64,64.0,11206616,목동힘찬병원,,,제증명서 사본,제증명,,,"1,000","1,000",PDZ160000,장해진단서추가당,,,
65,65.0,11206616,목동힘찬병원,,,채용신체 검사서,제증명,,,"30,000","30,000",PDZ010003,채용신검,,,
66,66.0,11206616,목동힘찬병원,,,확인서,제증명,,,"3,000","3,000",PDZ090004,"통원,치료, 진료 확인서",,,
67,67.0,11206616,목동힘찬병원,,,제증명서 사본,제증명,,,"1,000","1,000",PDZ160000,향후치료비추정서추가당,,,
68,68.0,11206616,목동힘찬병원,,,향후진료비추정서,제증명,,,"50,000","50,000",PDZ140001,향후치료추정서(1000만미만),,,
69,69.0,11206616,목동힘찬병원,,,향후진료비추정서,제증명,,,"100,000","100,000",PDZ140002,향후치료추정서(1000만이상),,,
70,70.0,11206616,목동힘찬병원,,,장애진단서,제증명,,,"100,000","100,000",PDZ070003,후유장애진단서,,,
71,71.0,11206616,목동힘찬병원,,,제증명서 사본,제증명,,,"1,000","1,000",PDZ160000,후유장애진단서추가당,,,
72,72.0,11206616,목동힘찬병원,,,,실료차,,,"300,000","300,000",ABZ020001,실료차(1인실),,,
73,73.0,11206616,목동힘찬병원,,,체온열검사료,검사,,,"100,000","100,000",EZ7760002,D.I.T.I (적외선체열촬영) - Racz,,,
74,74.0,11206616,목동힘찬병원,,,체온열검사료,검사,,,"200,000","200,000",EZ7760002,D.I.T.I (적외선체열촬영) - 상지,,,
75,75.0,11206616,목동힘찬병원,,,체온열검사료,검사,,,"200,000","200,000",EZ7760002,D.I.T.I (적외선체열촬영) - 하지,,,
76,76.0,11206616,목동힘찬병원,,,체온열검사료,검사,,,"300,000","300,000",EZ7760001,D.I.T.I (적외선체열촬영) 전신,,,
77,77.0,11206616,목동힘찬병원,,,진정내시경 환자관리료,검사,,,"100,000","100,000",EA0030000,대장수면내시경검사-환자관리,,,
78,78.0,11206616,목동힘찬병원,,,동맥경화도검사(맥파전달속도측정),검사,,,"100,000","100,000",EZ8680000,동맥경화도 검사,,,
79,79.0,11206616,목동힘찬병원,,,진정내시경 환자관리료,검사,,,"80,000","80,000",EA0020000,위장수면내시경검사-환자관리,,,
80,80.0,11206616,목동힘찬병원,,,인플루엔자 A?B 바이러스 항원검사〔현장검사〕,검사,,,"30,000","30,000",CZ3940000,인플루엔자 A·B 바이러스항원검사 [현장검사],,,
81,81.0,11206616,목동힘찬병원,,,"근골격, 연부-관절초음파",초음파,,,"140,000","140,000",EB4680000,Ankle sono,,,
82,82.0,11206616,목동힘찬병원,,,복부-복부 초음파,초음파,,,"100,000","100,000",EB4430001,Appendix sono,,,
83,83.0,11206616,목동힘찬병원,,,"근골격, 연부-연부조직 초음파",초음파,,,"100,000","100,000",EB4710000,Back sono,,,
84,84.0,11206616,목동힘찬병원,,,"근골격, 연부-관절초음파",초음파,,,"90,000","90,000",EB4660000,Basic shoulder sono,,,
85,85.0,11206616,목동힘찬병원,,,"근골격, 연부-연부조직 초음파",초음파,,,"50,000","50,000",EB4710000,Basic upper ext sono,,,
86,86.0,11206616,목동힘찬병원,,,복부-비뇨기계 초음파,초음파,,,"100,000","100,000",EB4500001,bladder sono,,,
87,87.0,11206616,목동힘찬병원,,,사지혈관 도플러 초음파/하지-정맥,초음파,,,"280,000","280,000",EB4880000,Both Lower Extremity Doppler (Venous),,,
88,88.0,11206616,목동힘찬병원,,,사지혈관 도플러 초음파/하지-동맥,초음파,,,"280,000","280,000",EB4870000,Both Lower Extremity Doppler sono (Aterial),,,
89,89.0,11206616,목동힘찬병원,,,유방,초음파,,,"110,000","110,000",EB4210000,Breast Routine sono,,,
90,90.0,11206616,목동힘찬병원,,,"근골격, 연부-연부조직 초음파",초음파,,,"100,000","100,000",EB4710000,Buttock sono,,,
91,91.0,11206616,목동힘찬병원,,,두개외 혈관 도풀러 초음파(경동맥),초음파,,,"180,000","180,000",EB4820000,Carotid Doppler sono,,,
92,92.0,11206616,목동힘찬병원,,,"흉부-유방,액와부 제외한 흉부 초음파",초음파,,,"100,000","100,000",EB4220000,Chest wall sono,,,
93,93.0,11206616,목동힘찬병원,,,심장-경흉부 심초음파/일반,초음파,,,"240,000","240,000",EB4320000,ECHO-Doppler,,,
94,94.0,11206616,목동힘찬병원,,,"근골격, 연부-관절초음파",초음파,,,"140,000","140,000",EB4630000,Elbow sono,,,
95,95.0,11206616,목동힘찬병원,,,"근골격, 연부-연부조직 초음파",초음파,,,"140,000","140,000",EB4710000,Extremity sono,,,
96,96.0,11206616,목동힘찬병원,,,"근골격, 연부-연부조직 초음파",초음파,,,"100,000","100,000",EB4710000,Face sono,,,
97,97.0,11206616,목동힘찬병원,,,"근골격, 연부-연부조직 초음파",초음파,,,"140,000","140,000",EB4620000,Foot sono,,,
98,98.0,11206616,목동힘찬병원,,,"근골격, 연부-연부조직 초음파",초음파,,,"140,000","140,000",EB4710000,Forearm sono,,,
99,99.0,11206616,목동힘찬병원,,,"근골격, 연부-연부조직 초음파",초음파,,,"140,000","140,000",EB4610000,Hand sono,,,
100,100.0,11206616,목동힘찬병원,,,"근골격, 연부-관절초음파",초음파,,,"140,000","140,000",EB4650000,Hip  sono,,,
101,101.0,11206616,목동힘찬병원,,,복부-복부 초음파,초음파,,,"120,000","120,000",EB4450001,Inguinal region sono,,,
102,102.0,11206616,목동힘찬병원,,,복부-비뇨기계 초음파,초음파,,,"150,000","150,000",EB4490001,"Kidney,Adrenal Gland sono",,,
103,103.0,11206616,목동힘찬병원,,,복부-비뇨기계 초음파,초음파,,,"150,000","150,000",EB4480001,"kidney,bladder,adrenal gland sono",,,
104,104.0,11206616,목동힘찬병원,,,"근골격, 연부-관절초음파",초음파,,,"140,000","140,000",EB4640000,Knee sono,,,
105,105.0,11206616,목동힘찬병원,,,"근골격, 연부-연부조직 초음파",초음파,,,"140,000","140,000",EB4710000,Lower leg sono,,,
106,106.0,11206616,목동힘찬병원,,,두경부-경부 초음파,초음파,,,"120,000","120,000",EB4150000,Neck Routine sono,,,
107,107.0,11206616,목동힘찬병원,,,복부-복부 초음파,초음파,,,"120,000","120,000",EB4460001,Rectum-Anus sono,,,
108,108.0,11206616,목동힘찬병원,,,사지혈관 도플러 초음파/하지-동맥,초음파,,,"180,000","180,000",EB4870000,Rt(Lt) Lower Extremity Doppler sono (Arterial),,,
109,109.0,11206616,목동힘찬병원,,,사지혈관 도플러 초음파/하지-정맥,초음파,,,"170,000","170,000",EB4880000,Rt(Lt) Lower Extremity Doppler sono (Venous),,,
110,110.0,11206616,목동힘찬병원,,,사지혈관 도플러 초음파/상지-동맥,초음파,,,"180,000","180,000",EB4840000,Rt(Lt)Upper Extremity Doppler sono,,,
111,111.0,11206616,목동힘찬병원,,,복부-남성생식기 초음파,초음파,,,"100,000","100,000",EB4540000,Scrotum sono 60,,,
112,112.0,11206616,목동힘찬병원,,,"근골격, 연부-관절초음파",초음파,,,"140,000","140,000",EB4660000,Shoulder sono,,,
113,113.0,11206616,목동힘찬병원,,,복부-복부 초음파,초음파,,,"120,000","120,000",EB4440001,Small Bowel.Colon sono,,,
114,114.0,11206616,목동힘찬병원,,,"근골격, 연부-연부조직 초음파",초음파,,,"140,000","140,000",EB4710000,Thigh sono,,,
115,115.0,11206616,목동힘찬병원,,,경부초음파,초음파,,,"120,000","120,000",EB4140000,Thyroid Gland sono,,,
116,116.0,11206616,목동힘찬병원,,,"근골격, 연부-연부조직 초음파",초음파,,,"140,000","140,000",EB4710000,Upper arm sono,,,
117,117.0,11206616,목동힘찬병원,,,"근골격, 연부-관절초음파",초음파,,,"140,000","140,000",EB4670000,Wrist sono,,,
118,118.0,11206616,목동힘찬병원,,,"근골격, 연부-연부조직 초음파",초음파,,,"100,000","100,000",EB4710000,기타 부위 sono,,,
119,119.0,11206616,목동힘찬병원,,,수술 중 초음파,초음파,,,"250,000","250,000",EZ9850000,유도 초음파,,,
120,120.0,11206616,목동힘찬병원,,,복부-복부,MRI,,,"490,000","490,000",HE1270000,Abd. Routin MRI(without contrast),,,
121,121.0,11206616,목동힘찬병원,,,근골격계-고관절,MRI,,,"490,000","490,000",HE1180000,BOTH Hip MRI,,,
122,122.0,11206616,목동힘찬병원,,,혈관-뇌혈관,MRI,,,"250,000","250,000",HI1350001,Brain MR Angio 50%,,,
123,123.0,11206616,목동힘찬병원,,,뇌,MRI,,,"500,000","500,000",HI1010001,Brain MRI(NR)+Angio(50%),,,
124,124.0,11206616,목동힘찬병원,,,뇌,MRI,,,"490,000","490,000",HI1010001,Brain MRI(without contrast),,,
125,125.0,11206616,목동힘찬병원,,,흉부-유방,MRI,,,"490,000","490,000",HE1260000,Breast MRI(without contrast),,,
126,126.0,11206616,목동힘찬병원,,,척추-경추,MRI,,,"490,000","490,000",HE1090000,C. Spine MRI(without contrast),,,
127,127.0,11206616,목동힘찬병원,,,척추-경추,MRI,,,"490,000","490,000",HE2090000,C. Spine MRI+Contrast,,,
128,128.0,11206616,목동힘찬병원,,,혈관-경부혈관,MRI,,,"250,000","250,000",HE1360000,Carotid  Angio MRI,,,
129,129.0,11206616,목동힘찬병원,,,척추-척추강,MRI,,,"150,000","150,000",HE1120000,Foraminal MR(C- spine),,,
130,130.0,11206616,목동힘찬병원,,,척추-척추강,MRI,,,"150,000","150,000",HE1120000,Foraminal MR(L- spine),,,
131,131.0,11206616,목동힘찬병원,,,척추-흉추와 요천추를 동시촬영,MRI,,,"740,000","740,000",HE1130000,L-spine MRI ( 흉추와 동시 촬영),,,
132,132.0,11206616,목동힘찬병원,,,척추-요천추,MRI,,,"490,000","490,000",HE1110000,L. Spine MRI(without contrast),,,
133,133.0,11206616,목동힘찬병원,,,척추-요천추,MRI,,,"490,000","490,000",HE2110000,L. Spine MRI+Contrast,,,
134,134.0,11206616,목동힘찬병원,,,근골격계-발목관절,MRI,,,"490,000","490,000",HE1210000,LT Ankle MRI(without contrast),,,
135,135.0,11206616,목동힘찬병원,,,근골격계-발목관절,MRI,,,"490,000","490,000",HE2210000,LT Ankle MRI+Contrast,,,
136,136.0,11206616,목동힘찬병원,,,근골격계-주관절,MRI,,,"490,000","490,000",HE1160000,LT Elbow MRI(without contrast),,,
137,137.0,11206616,목동힘찬병원,,,근골격계-주관절,MRI,,,"490,000","490,000",HE2160000,LT Elbow MRI+Contrast,,,
138,138.0,11206616,목동힘찬병원,,,근골격계-관절외하지,MRI,,,"490,000","490,000",HE1230000,LT Femur MRI(without contrast),,,
139,139.0,11206616,목동힘찬병원,,,근골격계-관절외하지,MRI,,,"490,000","490,000",HE2230000,LT Femur MRI+Contrast,,,
140,140.0,11206616,목동힘찬병원,,,근골격계-관절외하지,MRI,,,"490,000","490,000",HE1230000,LT Foot MRI(without contrast),,,
141,141.0,11206616,목동힘찬병원,,,근골격계-관절외하지,MRI,,,"490,000","490,000",HE2230000,LT Foot MRI+Contrast,,,
142,142.0,11206616,목동힘찬병원,,,근골격계-관절외상지,MRI,,,"490,000","490,000",HE1220000,LT Forearm MRI(without contrast),,,
143,143.0,11206616,목동힘찬병원,,,근골격계-관절외상지,MRI,,,"490,000","490,000",HE2220000,LT Forearm MRI+Contrast,,,
144,144.0,11206616,목동힘찬병원,,,근골격계-관절외상지,MRI,,,"490,000","490,000",HE1220000,LT Hand MRI(without contrast),,,
145,145.0,11206616,목동힘찬병원,,,근골격계-관절외상지,MRI,,,"490,000","490,000",HE2220000,LT Hand MRI+Contrast,,,
146,146.0,11206616,목동힘찬병원,,,근골격계-고관절,MRI,,,"490,000","490,000",HE1180000,Lt Hip joint MRI(without contrast),,,
147,147.0,11206616,목동힘찬병원,,,근골격계-고관절,MRI,,,"490,000","490,000",HE2180000,LT Hip joint MRI+Contrast,,,
148,148.0,11206616,목동힘찬병원,,,근골격계-관절외상지,MRI,,,"490,000","490,000",HE1220000,LT Humerus MRI(without contrast),,,
149,149.0,11206616,목동힘찬병원,,,근골격계-관절외상지,MRI,,,"490,000","490,000",HE2220000,LT Humerus MRI+Contrast,,,
150,150.0,11206616,목동힘찬병원,,,근골격계-슬관절,MRI,,,"490,000","490,000",HE1200000,LT Knee joint MRI(without contrast),,,
151,151.0,11206616,목동힘찬병원,,,근골격계-슬관절,MRI,,,"490,000","490,000",HE2200000,LT Knee joint MRI+Contrast,,,
152,152.0,11206616,목동힘찬병원,,,근골격계-견관절,MRI,,,"490,000","490,000",HE1150000,LT Shoulder MRI(without contrast),,,
153,153.0,11206616,목동힘찬병원,,,근골격계-견관절,MRI,,,"490,000","490,000",HE2150000,LT Shoulder MRI+Contrast,,,
154,154.0,11206616,목동힘찬병원,,,근골격계-관절외하지,MRI,,,"490,000","490,000",HE1230000,LT Tibia MRI(without contrast),,,
155,155.0,11206616,목동힘찬병원,,,근골격계-관절외하지,MRI,,,"490,000","490,000",HE2230000,LT Tibia MRI+Contrast,,,
156,156.0,11206616,목동힘찬병원,,,근골격계-수관절,MRI,,,"490,000","490,000",HE1170000,LT Wrist MRI(without contrast),,,
157,157.0,11206616,목동힘찬병원,,,근골격계-수관절,MRI,,,"490,000","490,000",HE2170000,LT Wrist MRI+Contrast,,,
158,158.0,11206616,목동힘찬병원,,,척추-요천추,MRI,,,"250,000","250,000",HE4110000,Lumbar Limited  MRI,,,
159,159.0,11206616,목동힘찬병원,,,척추-척추강,MRI,,,"150,000","150,000",HE1120000,Myelo MRI,,,
160,160.0,11206616,목동힘찬병원,,,두경부-경부,MRI,,,"490,000","490,000",HI1080001,Neck MRI(without contrast),,,
161,161.0,11206616,목동힘찬병원,,,복부-골반,MRI,,,"490,000","490,000",HE1280000,Pelvis MRI(without contrast),,,
162,162.0,11206616,목동힘찬병원,,,근골격계-발목관절,MRI,,,"490,000","490,000",HE1210000,RT Ankle MRI(without contrast),,,
163,163.0,11206616,목동힘찬병원,,,근골격계-발목관절,MRI,,,"490,000","490,000",HE2210000,RT Ankle MRI+Contrast,,,
164,164.0,11206616,목동힘찬병원,,,근골격계-주관절,MRI,,,"490,000","490,000",HE1160000,RT Elbow MRI(without contrast),,,
165,165.0,11206616,목동힘찬병원,,,근골격계-주관절,MRI,,,"490,000","490,000",HE2160000,RT Elbow MRI+Contrast,,,
166,166.0,11206616,목동힘찬병원,,,근골격계-관절외하지,MRI,,,"490,000","490,000",HE1230000,RT Femur MRI(without contrast),,,
167,167.0,11206616,목동힘찬병원,,,근골격계-관절외하지,MRI,,,"490,000","490,000",HE2230000,RT Femur MRI+Contrast,,,
168,168.0,11206616,목동힘찬병원,,,근골격계-관절외하지,MRI,,,"490,000","490,000",HE1230000,RT Foot MRI(without contrast),,,
169,169.0,11206616,목동힘찬병원,,,근골격계-관절외상지,MRI,,,"490,000","490,000",HE1220000,RT Forearm MRI(without contrast),,,
170,170.0,11206616,목동힘찬병원,,,근골격계-관절외상지,MRI,,,"490,000","490,000",HE2220000,RT Forearm MRI+Contrast,,,
171,171.0,11206616,목동힘찬병원,,,근골격계-관절외상지,MRI,,,"490,000","490,000",HE1220000,RT Hand MRI(without contrast),,,
172,172.0,11206616,목동힘찬병원,,,근골격계-관절외상지,MRI,,,"490,000","490,000",HE2220000,RT Hand MRI+Contrast,,,
173,173.0,11206616,목동힘찬병원,,,근골격계-고관절,MRI,,,"490,000","490,000",HE1180000,RT Hip joint MRI(Without contrast),,,
174,174.0,11206616,목동힘찬병원,,,근골격계-고관절,MRI,,,"490,000","490,000",HE2180000,RT Hip joint MRI+Contrast,,,
175,175.0,11206616,목동힘찬병원,,,근골격계-관절외상지,MRI,,,"490,000","490,000",HE1220000,Rt Humerus MRI(without contrast),,,
176,176.0,11206616,목동힘찬병원,,,근골격계-관절외상지,MRI,,,"490,000","490,000",HE2220000,RT Humerus MRI+Contrast,,,
177,177.0,11206616,목동힘찬병원,,,근골격계-슬관절,MRI,,,"490,000","490,000",HE1200000,RT Knee joint MRI(without contrast),,,
178,178.0,11206616,목동힘찬병원,,,근골격계-슬관절,MRI,,,"490,000","490,000",HE2200000,RT Knee joint MRI+Contrast,,,
179,179.0,11206616,목동힘찬병원,,,근골격계-견관절,MRI,,,"490,000","490,000",HE1150000,RT Shoulder MRI(without contrast),,,
180,180.0,11206616,목동힘찬병원,,,근골격계-견관절,MRI,,,"490,000","490,000",HE2150000,RT Shoulder MRI+Contrast,,,
181,181.0,11206616,목동힘찬병원,,,근골격계-관절외하지,MRI,,,"490,000","490,000",HE1230000,RT Tibia MRI(without contrast),,,
182,182.0,11206616,목동힘찬병원,,,근골격계-관절외하지,MRI,,,"490,000","490,000",HE2230000,RT Tibia MRI+Contrast,,,
183,183.0,11206616,목동힘찬병원,,,근골격계-수관절,MRI,,,"490,000","490,000",HE1170000,RT Wrist MRI(without contrast),,,
184,184.0,11206616,목동힘찬병원,,,근골격계-수관절,MRI,,,"490,000","490,000",HE2170000,RT Wrist MRI+Contrast,,,
185,185.0,11206616,목동힘찬병원,,,근골격계-천장골관절,MRI,,,"490,000","490,000",HE1190000,S-I Joint MRI(without contrast),,,
186,186.0,11206616,목동힘찬병원,,,근골격계-천장골관절,MRI,,,"490,000","490,000",HE2190000,S-I Joint MRI+Contrast,,,
187,187.0,11206616,목동힘찬병원,,,근골격계-천장골관절,MRI,,,"490,000","490,000",HE1310000,Sacrum MRI(without contrast),,,
188,188.0,11206616,목동힘찬병원,,,근골격계-천장골관절,MRI,,,"490,000","490,000",HE2190000,Sacrum MRI+Contrast,,,
189,189.0,11206616,목동힘찬병원,,,척추-흉추,MRI,,,"490,000","490,000",HE1100000,T. Spine MRI(without contrast),,,
190,190.0,11206616,목동힘찬병원,,,척추-흉추,MRI,,,"490,000","490,000",HE2100000,T. Spine MRI+Contrast,,,
191,191.0,11206616,목동힘찬병원,,,확산,MRI,,,"255,760","255,760",HF1010000,자기공명영상진단-특수검사(확산),,,
192,192.0,11206616,목동힘찬병원,,,사람유두종바이러스,예방접종,,,"150,000","150,000",3Z5201001,서바릭스 프리필드(환자용),,,
193,193.0,11206616,목동힘찬병원,,,인플루엔자,예방접종,,,"40,000","40,000",3Z5201101,스카이셀플루 0.5ml(4가 독감 백신) 환자용,,,
194,194.0,11206616,목동힘찬병원,,,대상포진,예방접종,,,"150,000","150,000",3Z5200301,스카이조스터,,,
195,195.0,11206616,목동힘찬병원,,,"Td(파상풍, 디프테리아, 백일해)",예방접종,,,"50,000","50,000",3Z5201602,아다셀주(환자용),,,
196,196.0,11206616,목동힘찬병원,,,대상포진,예방접종,,,"190,000","190,000",3Z5200302,조스타박스주,,,
