,중분류,소분류,코드,명칭,구분,비용,최저비용,최고비용,치료재료대포함,약제비포함,특이사항,Unnamed: 0,병원코드,병원명,분류,중복컬럼_1,약제비포함여부,치료재료대포함여부
113,처치및수술료,처치및수술료,WSH178,PRP 1cc자가 혈소판 풍부 혈장 치료술(신의료),,"120,000",0,0,,,,,,,,,,
114,처치및수술료,처치및수술료,WSH179,PRP 2cc자가 혈소판 풍부 혈장 치료술(신의료),,"220,000",0,0,,,,,,,,,,
115,검사료,검체검사료,CZ246,IMA 허혈성 변형 알부민 검사,,"450,000",0,0,,,,,,,,,,
0,,,AB9000,병실료차액,1인실,"190,000",,,,,,0.0,11205008.0,연세사랑병원,상급병실료차액,,,
1,,,646601401,FLOSEAL,,"₩800,000",,,,,,1.0,11206551.0,연세건우병원,투약 및 주사료,,,
2,,,657805301,네큐팜주사액(40mg/4ml)(네포팜염산염)-하나제약,,"₩16,606",,,,,무통주사 약제,2.0,11206551.0,연세건우병원,투약 및 주사료,,,
3,,,649500530,로우칼정,,₩161,,,,,,3.0,11206551.0,연세건우병원,투약 및 주사료,,,
4,,,649500540,로우칼캡슐,,₩161,,,,,,4.0,11206551.0,연세건우병원,투약 및 주사료,,,
5,,,653401640,마데카솔케어연고 10g,,"₩8,000",,,,,,5.0,11206551.0,연세건우병원,투약 및 주사료,,,
6,,,653102550,말린다주,,"₩50,000~100,000",,,,,용량에 따라,6.0,11206551.0,연세건우병원,투약 및 주사료,,,
7,,,645101360,멀티플렉스페리주,,"₩70,000",,,,,,7.0,11206551.0,연세건우병원,투약 및 주사료,,,
8,,,654802250,비엠하이디주(비급여)-(주)한국비엠아이,,"₩35,000",,,,,비타민D제,8.0,11206551.0,연세건우병원,투약 및 주사료,,,
9,,,647801080,삼진 타우로린 주,,"₩150,000~160,500",,,,,,9.0,11206551.0,연세건우병원,투약 및 주사료,,,
10,,,645103490,아미노헥스주,,"₩35,000",,,,,,10.0,11206551.0,연세건우병원,투약 및 주사료,,,
11,,,,비주요 비급여 검색된 자료가 없습니다.,,비주요 비급여 검색된 자료가 없습니다.,,,,,,11.0,11206616.0,목동힘찬병원,,,,
12,행위/기타,신장분사치료,MZ0070000,,(특) 신장분사치료,,"100,000","100,000",,,,12.0,11206616.0,목동힘찬병원,,,,
13,행위/기타,체외충격파치료〔근골격계질환〕,SZ0840000,,ESWT(체외충격파치료-양측)-두부위  2000타,,"240,000","240,000",,,,13.0,11206616.0,목동힘찬병원,,,,
14,행위/기타,체외충격파치료〔근골격계질환〕,SZ0840000,,ESWT(체외충격파치료-양측)-두부위 1500타,,"180,000","180,000",,,,14.0,11206616.0,목동힘찬병원,,,,
15,행위/기타,체외충격파치료〔근골격계질환〕,SZ0840000,,ESWT(체외충격파치료-편측)-한부위  2000타,,"120,000","120,000",,,,15.0,11206616.0,목동힘찬병원,,,,
16,행위/기타,체외충격파치료〔근골격계질환〕,SZ0840000,,ESWT(체외충격파치료-편측)-한부위 1500타,,"90,000","90,000",,,,16.0,11206616.0,목동힘찬병원,,,,
17,행위/기타,경피적 풍선확장 경막외강 신경성형,SZ6410000,,경막외강내 유착박리 및 협착완화술 (풍선확장기능을 포함한),,"2,300,000","2,300,000",,,,17.0,11206616.0,목동힘찬병원,,,,
18,행위/기타,경피적 경막외강 신경성형술,SZ6340000,,경피적 경막외강 신경성형술(P.E.N),,"2,200,000","2,400,000",,,,18.0,11206616.0,목동힘찬병원,,,,
19,행위/기타,내시경적 경막외강 신경근성형술,SZ6310000,,내시경적 경막외강 신경근성형술,,"2,620,000","3,500,000",,,,19.0,11206616.0,목동힘찬병원,,,,
20,행위/기타,도수치료,MX1220000,,도수치료 K,,"20,000","20,000",,,,20.0,11206616.0,목동힘찬병원,,,,
21,행위/기타,도수치료,MX1220000,,도수치료 [1일당] kypho,,"2,000","2,000",,,,21.0,11206616.0,목동힘찬병원,,,,
22,행위/기타,도수치료,MX1220000,,도수치료 [1일당] kypho-adm,,"30,000","30,000",,,,22.0,11206616.0,목동힘찬병원,,,,
23,행위/기타,신장분사치료,MZ0070000,,신장분사(양측),,"30,000","30,000",,,,23.0,11206616.0,목동힘찬병원,,,,
24,행위/기타,신장분사치료,MZ0070000,,신장분사(편측),,"60,000","60,000",,,,24.0,11206616.0,목동힘찬병원,,,,
25,행위/기타,"자가 골수 줄기세포 치료-연골결손(동 행위를 위해 실시한 골수천자, 미세천공술 및 관절경 치료재료대 포함)",SZ0850000,,연골결손 환자에서의 자가 골수 줄기세포 치료술(양쪽),,"1,500,000","1,500,000",,,,25.0,11206616.0,목동힘찬병원,,,,
26,행위/기타,"자가 골수 줄기세포 치료-연골결손(동 행위를 위해 실시한 골수천자, 미세천공술 및 관절경 치료재료대 포함)",SZ0850000,,연골결손 환자에서의 자가 골수 줄기세포 치료술(한쪽),,"1,000,000","1,000,000",,,,26.0,11206616.0,목동힘찬병원,,,,
27,행위/기타,도수치료,MX1220000,,재활도수 A,,"25,000","25,000",,,,27.0,11206616.0,목동힘찬병원,,,,
28,행위/기타,도수치료,MX1220000,,재활도수 B,,"50,000","50,000",,,,28.0,11206616.0,목동힘찬병원,,,,
29,행위/기타,도수치료,MX1220000,,재활도수 C,,"70,000","70,000",,,,29.0,11206616.0,목동힘찬병원,,,,
30,행위/기타,도수치료,MX1220000,,재활도수 D,,"95,000","95,000",,,,30.0,11206616.0,목동힘찬병원,,,,
31,행위/기타,도수치료,MX1220000,,재활도수 F,,"130,000","130,000",,,,31.0,11206616.0,목동힘찬병원,,,,
32,행위/기타,도수치료,MX1220000,,재활도수 계단 + Walking,,"10,000","10,000",,,,32.0,11206616.0,목동힘찬병원,,,,
33,행위/기타,체외충격파치료[근골격계질환〕,SZ0840000,,체외충격파 치료(ESWT)- SPINE,,"150,000","150,000",,,,33.0,11206616.0,목동힘찬병원,,,,
34,행위/기타,척추수술-추간판내 고주파 열치료술,SZ0830000,,추간판내 고주파 열치료술,,"2,290,000","2,290,000",,,,34.0,11206616.0,목동힘찬병원,,,,
35,행위/기타,증식치료,MY1420000,,프롤로치료(사지관절부위),,"110,000","110,000",,,,35.0,11206616.0,목동힘찬병원,,,,
36,행위/기타,증식치료,MY1430000,,프롤로치료(척추부위),,"110,000","110,000",,,,36.0,11206616.0,목동힘찬병원,,,,
37,치료재료,척추경막외 유착방지제,BF0101VT,,하이배리(HIBARRY) 1.5cc,,"700,000","700,000",,,,37.0,11206616.0,목동힘찬병원,,,,
38,치료재료,척추경막외 유착방지제,BF0101VT,,하이배리(HIBARRY) 3cc,,"1,200,000","1,200,000",,,,38.0,11206616.0,목동힘찬병원,,,,
39,치료재료,척추경막외 유착방지제,BF0101VT,,하이배리(HIBARRY) 5cc,,"1,300,000","1,300,000",,,,39.0,11206616.0,목동힘찬병원,,,,
40,제증명,진료기록(영상),PDZ110003,,3X-RAY 필름 복사(1매당),,"4,000","4,000",,,,40.0,11206616.0,목동힘찬병원,,,,
41,제증명,진료기록(영상),PDZ110004,,"Copy, CD (1장 제작)",,"10,000","10,000",,,,41.0,11206616.0,목동힘찬병원,,,,
42,제증명,국민연금 장애 심사용 진단서,PDZ100000,,국민연금 장애진단서,,"15,000","15,000",,,,42.0,11206616.0,목동힘찬병원,,,,
43,제증명,제증명서 사본,PDZ160000,,국민연금 장애진단서 추가당,,"1,000","1,000",,,,43.0,11206616.0,목동힘찬병원,,,,
44,제증명,진단서,PDZ010002,,근로능력평가용 진단서,,"10,000","10,000",,,,44.0,11206616.0,목동힘찬병원,,,,
45,제증명,제증명서 사본,PDZ160000,,기타치료확인서추가당,,"1,000","1,000",,,,45.0,11206616.0,목동힘찬병원,,,,
46,제증명,병사용진단서,PDZ080000,,병무용진단서,,"20,000","20,000",,,,46.0,11206616.0,목동힘찬병원,,,,
47,제증명,제증명서 사본,PDZ160000,,병무용진단서추가당,,"1,000","1,000",,,,47.0,11206616.0,목동힘찬병원,,,,
48,제증명,사망진단서,PDZ030000,,사망진단서,,"10,000","10,000",,,,48.0,11206616.0,목동힘찬병원,,,,
49,제증명,제증명서 사본,PDZ160000,,사망진단서1매추가당,,"1,000","1,000",,,,49.0,11206616.0,목동힘찬병원,,,,
50,제증명,상해진단서,PDZ020001,,상해진단서(3주미만),,"50,000","50,000",,,,50.0,11206616.0,목동힘찬병원,,,,
51,제증명,상해진단서,PDZ020002,,상해진단서(3주이상),,"100,000","100,000",,,,51.0,11206616.0,목동힘찬병원,,,,
52,제증명,진료기록사본,PDZ110001,,상해진단서사본,,"1,000","1,000",,,,52.0,11206616.0,목동힘찬병원,,,,
53,제증명,제증명서 사본,PDZ160000,,상해진단서추가당,,"1,000","1,000",,,,53.0,11206616.0,목동힘찬병원,,,,
54,제증명,제증명서 사본,PDZ160000,,영문진단및소견서추가당,,"1,000","1,000",,,,54.0,11206616.0,목동힘찬병원,,,,
55,제증명,영문진단서,PDE010001,,영문진단서,,"20,000","20,000",,,,55.0,11206616.0,목동힘찬병원,,,,
56,제증명,진료기록사본,PDZ110101,,의무기록사본(1~5매),,"1,000","1,000",,,,56.0,11206616.0,목동힘찬병원,,,,
57,제증명,제증명수수료,PDZ110102,,의무기록사본(6매이상),,100,100,,,,57.0,11206616.0,목동힘찬병원,,,,
58,제증명,제증명서 사본,PDZ160000,,일반건강진단서추가당,,"1,000","1,000",,,,58.0,11206616.0,목동힘찬병원,,,,
59,제증명,진단서,PDZ010000,,일반진단서,,"15,000","15,000",,,,59.0,11206616.0,목동힘찬병원,,,,
60,제증명,제증명서 사본,PDZ160000,,일반진단서1매추가당,,"1,000","1,000",,,,60.0,11206616.0,목동힘찬병원,,,,
61,제증명,제증명서 사본,PDZ160000,,"입원.통원,진료 치료확인서추가당",,"1,000","1,000",,,,61.0,11206616.0,목동힘찬병원,,,,
62,제증명,확인서,PDZ090002,,입퇴원확인서,,"1,000","1,000",,,,62.0,11206616.0,목동힘찬병원,,,,
63,제증명,장애진단서,PDZ070001,,장애진단서,,"15,000","15,000",,,,63.0,11206616.0,목동힘찬병원,,,,
64,제증명,제증명서 사본,PDZ160000,,장해진단서추가당,,"1,000","1,000",,,,64.0,11206616.0,목동힘찬병원,,,,
65,제증명,채용신체 검사서,PDZ010003,,채용신검,,"30,000","30,000",,,,65.0,11206616.0,목동힘찬병원,,,,
66,제증명,확인서,PDZ090004,,"통원,치료, 진료 확인서",,"3,000","3,000",,,,66.0,11206616.0,목동힘찬병원,,,,
67,제증명,제증명서 사본,PDZ160000,,향후치료비추정서추가당,,"1,000","1,000",,,,67.0,11206616.0,목동힘찬병원,,,,
68,제증명,향후진료비추정서,PDZ140001,,향후치료추정서(1000만미만),,"50,000","50,000",,,,68.0,11206616.0,목동힘찬병원,,,,
69,제증명,향후진료비추정서,PDZ140002,,향후치료추정서(1000만이상),,"100,000","100,000",,,,69.0,11206616.0,목동힘찬병원,,,,
70,제증명,장애진단서,PDZ070003,,후유장애진단서,,"100,000","100,000",,,,70.0,11206616.0,목동힘찬병원,,,,
71,제증명,제증명서 사본,PDZ160000,,후유장애진단서추가당,,"1,000","1,000",,,,71.0,11206616.0,목동힘찬병원,,,,
72,실료차,,ABZ020001,,실료차(1인실),,"300,000","300,000",,,,72.0,11206616.0,목동힘찬병원,,,,
73,검사,체온열검사료,EZ7760002,,D.I.T.I (적외선체열촬영) - Racz,,"100,000","100,000",,,,73.0,11206616.0,목동힘찬병원,,,,
74,검사,체온열검사료,EZ7760002,,D.I.T.I (적외선체열촬영) - 상지,,"200,000","200,000",,,,74.0,11206616.0,목동힘찬병원,,,,
75,검사,체온열검사료,EZ7760002,,D.I.T.I (적외선체열촬영) - 하지,,"200,000","200,000",,,,75.0,11206616.0,목동힘찬병원,,,,
76,검사,체온열검사료,EZ7760001,,D.I.T.I (적외선체열촬영) 전신,,"300,000","300,000",,,,76.0,11206616.0,목동힘찬병원,,,,
77,검사,진정내시경 환자관리료,EA0030000,,대장수면내시경검사-환자관리,,"100,000","100,000",,,,77.0,11206616.0,목동힘찬병원,,,,
78,검사,동맥경화도검사(맥파전달속도측정),EZ8680000,,동맥경화도 검사,,"100,000","100,000",,,,78.0,11206616.0,목동힘찬병원,,,,
79,검사,진정내시경 환자관리료,EA0020000,,위장수면내시경검사-환자관리,,"80,000","80,000",,,,79.0,11206616.0,목동힘찬병원,,,,
80,검사,인플루엔자 A?B 바이러스 항원검사〔현장검사〕,CZ3940000,,인플루엔자 A·B 바이러스항원검사 [현장검사],,"30,000","30,000",,,,80.0,11206616.0,목동힘찬병원,,,,
81,초음파,"근골격, 연부-관절초음파",EB4680000,,Ankle sono,,"140,000","140,000",,,,81.0,11206616.0,목동힘찬병원,,,,
82,초음파,복부-복부 초음파,EB4430001,,Appendix sono,,"100,000","100,000",,,,82.0,11206616.0,목동힘찬병원,,,,
83,초음파,"근골격, 연부-연부조직 초음파",EB4710000,,Back sono,,"100,000","100,000",,,,83.0,11206616.0,목동힘찬병원,,,,
84,초음파,"근골격, 연부-관절초음파",EB4660000,,Basic shoulder sono,,"90,000","90,000",,,,84.0,11206616.0,목동힘찬병원,,,,
85,초음파,"근골격, 연부-연부조직 초음파",EB4710000,,Basic upper ext sono,,"50,000","50,000",,,,85.0,11206616.0,목동힘찬병원,,,,
86,초음파,복부-비뇨기계 초음파,EB4500001,,bladder sono,,"100,000","100,000",,,,86.0,11206616.0,목동힘찬병원,,,,
